"","date","country","confirmed","death","recovered"
"1",2020-01-22,"Australia",0,0,0
"2",2020-01-22,"Belgium",0,0,0
"3",2020-01-22,"China",548,17,28
"4",2020-01-22,"Italy",0,0,0
"5",2020-01-22,"Japan",2,0,0
"6",2020-01-22,"Spain",0,0,0
"7",2020-01-22,"US",1,0,0
"8",2020-01-23,"Australia",0,0,0
"9",2020-01-23,"Belgium",0,0,0
"10",2020-01-23,"China",95,1,2
"11",2020-01-23,"Italy",0,0,0
"12",2020-01-23,"Japan",0,0,0
"13",2020-01-23,"Spain",0,0,0
"14",2020-01-23,"US",0,0,0
"15",2020-01-24,"Australia",0,0,0
"16",2020-01-24,"Belgium",0,0,0
"17",2020-01-24,"China",277,8,6
"18",2020-01-24,"Italy",0,0,0
"19",2020-01-24,"Japan",0,0,0
"20",2020-01-24,"Spain",0,0,0
"21",2020-01-24,"US",1,0,0
"22",2020-01-25,"Australia",0,0,0
"23",2020-01-25,"Belgium",0,0,0
"24",2020-01-25,"China",486,16,3
"25",2020-01-25,"Italy",0,0,0
"26",2020-01-25,"Japan",0,0,0
"27",2020-01-25,"Spain",0,0,0
"28",2020-01-25,"US",0,0,0
"29",2020-01-26,"Australia",4,0,0
"30",2020-01-26,"Belgium",0,0,0
"31",2020-01-26,"China",669,14,10
"32",2020-01-26,"Italy",0,0,0
"33",2020-01-26,"Japan",2,0,1
"34",2020-01-26,"Spain",0,0,0
"35",2020-01-26,"US",3,0,0
"36",2020-01-27,"Australia",1,0,0
"37",2020-01-27,"Belgium",0,0,0
"38",2020-01-27,"China",802,26,9
"39",2020-01-27,"Italy",0,0,0
"40",2020-01-27,"Japan",0,0,0
"41",2020-01-27,"Spain",0,0,0
"42",2020-01-27,"US",0,0,0
"43",2020-01-28,"Australia",0,0,0
"44",2020-01-28,"Belgium",0,0,0
"45",2020-01-28,"China",2632,49,43
"46",2020-01-28,"Italy",0,0,0
"47",2020-01-28,"Japan",3,0,0
"48",2020-01-28,"Spain",0,0,0
"49",2020-01-28,"US",0,0,0
"50",2020-01-29,"Australia",1,0,0
"51",2020-01-29,"Belgium",0,0,0
"52",2020-01-29,"China",578,2,19
"53",2020-01-29,"Italy",0,0,0
"54",2020-01-29,"Japan",0,0,0
"55",2020-01-29,"Spain",0,0,0
"56",2020-01-29,"US",0,0,0
"57",2020-01-30,"Australia",3,0,2
"58",2020-01-30,"Belgium",0,0,0
"59",2020-01-30,"China",2054,38,15
"60",2020-01-30,"Italy",0,0,0
"61",2020-01-30,"Japan",4,0,0
"62",2020-01-30,"Spain",0,0,0
"63",2020-01-30,"US",0,0,0
"64",2020-01-31,"Australia",0,0,0
"65",2020-01-31,"Belgium",0,0,0
"66",2020-01-31,"China",1661,42,79
"67",2020-01-31,"Italy",2,0,0
"68",2020-01-31,"Japan",4,0,0
"69",2020-01-31,"Spain",0,0,0
"70",2020-01-31,"US",2,0,0
"71",2020-02-01,"Australia",3,0,0
"72",2020-02-01,"Belgium",0,0,0
"73",2020-02-01,"China",2089,46,61
"74",2020-02-01,"Italy",0,0,0
"75",2020-02-01,"Japan",5,0,0
"76",2020-02-01,"Spain",1,0,0
"77",2020-02-01,"US",1,0,0
"78",2020-02-02,"Australia",0,0,0
"79",2020-02-02,"Belgium",0,0,0
"80",2020-02-02,"China",4739,102,188
"81",2020-02-02,"Italy",0,0,0
"82",2020-02-02,"Japan",0,0,0
"83",2020-02-02,"Spain",0,0,0
"84",2020-02-02,"US",0,0,0
"85",2020-02-03,"Australia",0,0,0
"86",2020-02-03,"Belgium",0,0,0
"87",2020-02-03,"China",3086,64,151
"88",2020-02-03,"Italy",0,0,0
"89",2020-02-03,"Japan",0,0,0
"90",2020-02-03,"Spain",0,0,0
"91",2020-02-03,"US",3,0,0
"92",2020-02-04,"Australia",1,0,0
"93",2020-02-04,"Belgium",1,0,0
"94",2020-02-04,"China",3991,66,229
"95",2020-02-04,"Italy",0,0,0
"96",2020-02-04,"Japan",2,0,0
"97",2020-02-04,"Spain",0,0,0
"98",2020-02-04,"US",0,0,0
"99",2020-02-05,"Australia",0,0,0
"100",2020-02-05,"Belgium",0,0,0
"101",2020-02-05,"China",3733,72,272
"102",2020-02-05,"Italy",0,0,0
"103",2020-02-05,"Japan",1,0,0
"104",2020-02-05,"Spain",0,0,0
"105",2020-02-05,"US",0,0,0
"106",2020-02-06,"Australia",1,0,0
"107",2020-02-06,"Belgium",0,0,0
"108",2020-02-06,"China",3147,70,362
"109",2020-02-06,"Italy",0,0,0
"110",2020-02-06,"Japan",0,0,0
"111",2020-02-06,"Spain",0,0,0
"112",2020-02-06,"US",0,0,0
"113",2020-02-07,"Australia",1,0,0
"114",2020-02-07,"Belgium",0,0,0
"115",2020-02-07,"China",3523,85,522
"116",2020-02-07,"Italy",1,0,0
"117",2020-02-07,"Japan",0,0,0
"118",2020-02-07,"Spain",0,0,0
"119",2020-02-07,"US",0,0,0
"120",2020-02-08,"Australia",0,0,0
"121",2020-02-08,"Belgium",0,0,0
"122",2020-02-08,"China",2704,87,597
"123",2020-02-08,"Italy",0,0,0
"124",2020-02-08,"Japan",1,0,0
"125",2020-02-08,"Spain",0,0,0
"126",2020-02-08,"US",0,0,0
"127",2020-02-09,"Australia",0,0,0
"128",2020-02-09,"Belgium",0,0,0
"129",2020-02-09,"China",3015,100,623
"130",2020-02-09,"Italy",0,0,0
"131",2020-02-09,"Japan",0,0,0
"132",2020-02-09,"Spain",1,0,0
"133",2020-02-09,"US",0,0,3
"134",2020-02-10,"Australia",0,0,0
"135",2020-02-10,"Belgium",0,0,0
"136",2020-02-10,"China",2525,107,699
"137",2020-02-10,"Italy",0,0,0
"138",2020-02-10,"Japan",2,0,3
"139",2020-02-10,"Spain",0,0,0
"140",2020-02-10,"US",0,0,0
"141",2020-02-11,"Australia",0,0,0
"142",2020-02-11,"Belgium",0,0,0
"143",2020-02-11,"China",2032,100,718
"144",2020-02-11,"Italy",0,0,0
"145",2020-02-11,"Japan",1,0,5
"146",2020-02-11,"Spain",0,0,0
"147",2020-02-11,"US",1,0,0
"148",2020-02-12,"Australia",0,0,0
"149",2020-02-12,"Belgium",0,0,0
"150",2020-02-12,"China",373,5,446
"151",2020-02-12,"Italy",0,0,0
"152",2020-02-12,"Japan",1,0,0
"153",2020-02-12,"Spain",0,0,0
"154",2020-02-12,"US",0,0,0
"155",2020-02-13,"Australia",0,0,6
"156",2020-02-13,"Belgium",0,0,0
"157",2020-02-13,"China",15136,252,1135
"158",2020-02-13,"Italy",0,0,0
"159",2020-02-13,"Japan",5,1,0
"160",2020-02-13,"Spain",0,0,0
"161",2020-02-13,"US",1,0,0
"162",2020-02-14,"Australia",0,0,0
"163",2020-02-14,"Belgium",0,0,0
"164",2020-02-14,"China",6463,152,1760
"165",2020-02-14,"Italy",0,0,0
"166",2020-02-14,"Japan",10,0,0
"167",2020-02-14,"Spain",0,0,0
"168",2020-02-14,"US",0,0,0
"169",2020-02-15,"Australia",0,0,0
"170",2020-02-15,"Belgium",0,0,0
"171",2020-02-15,"China",2055,142,1321
"172",2020-02-15,"Italy",0,0,0
"173",2020-02-15,"Japan",11,0,3
"174",2020-02-15,"Spain",0,0,2
"175",2020-02-15,"US",0,0,0
"176",2020-02-16,"Australia",0,0,0
"177",2020-02-16,"Belgium",0,0,0
"178",2020-02-16,"China",2100,103,1457
"179",2020-02-16,"Italy",0,0,0
"180",2020-02-16,"Japan",6,0,0
"181",2020-02-16,"Spain",0,0,0
"182",2020-02-16,"US",0,0,0
"183",2020-02-17,"Australia",0,0,2
"184",2020-02-17,"Belgium",0,0,1
"185",2020-02-17,"China",1921,98,1707
"186",2020-02-17,"Italy",0,0,0
"187",2020-02-17,"Japan",7,0,0
"188",2020-02-17,"Spain",0,0,0
"189",2020-02-17,"US",0,0,0
"190",2020-02-18,"Australia",0,0,0
"191",2020-02-18,"Belgium",0,0,0
"192",2020-02-18,"China",1777,139,1744
"193",2020-02-18,"Italy",0,0,0
"194",2020-02-18,"Japan",12,1,1
"195",2020-02-18,"Spain",0,0,0
"196",2020-02-18,"US",0,0,0
"197",2020-02-19,"Australia",0,0,0
"198",2020-02-19,"Belgium",0,0,0
"199",2020-02-19,"China",408,113,1756
"200",2020-02-19,"Italy",0,0,0
"201",2020-02-19,"Japan",6,0,5
"202",2020-02-19,"Spain",0,0,0
"203",2020-02-19,"US",0,0,0
"204",2020-02-20,"Australia",0,0,0
"205",2020-02-20,"Belgium",0,0,0
"206",2020-02-20,"China",458,122,2052
"207",2020-02-20,"Italy",0,0,0
"208",2020-02-20,"Japan",10,0,0
"209",2020-02-20,"Spain",0,0,0
"210",2020-02-20,"US",0,0,0
"211",2020-02-21,"Australia",0,0,1
"212",2020-02-21,"Belgium",0,0,0
"213",2020-02-21,"China",473,0,690
"214",2020-02-21,"Italy",17,1,0
"215",2020-02-21,"Japan",17,0,4
"216",2020-02-21,"Spain",0,0,0
"217",2020-02-21,"US",2,0,2
"218",2020-02-22,"Australia",0,0,0
"219",2020-02-22,"Belgium",0,0,0
"220",2020-02-22,"China",1451,205,3995
"221",2020-02-22,"Italy",42,1,1
"222",2020-02-22,"Japan",25,0,0
"223",2020-02-22,"Spain",0,0,0
"224",2020-02-22,"US",0,0,0
"225",2020-02-23,"Australia",0,0,0
"226",2020-02-23,"Belgium",0,0,0
"227",2020-02-23,"China",21,2,488
"228",2020-02-23,"Italy",93,1,1
"229",2020-02-23,"Japan",12,0,0
"230",2020-02-23,"Spain",0,0,0
"231",2020-02-23,"US",0,0,0
"232",2020-02-24,"Australia",0,0,0
"233",2020-02-24,"Belgium",0,0,0
"234",2020-02-24,"China",219,150,1828
"235",2020-02-24,"Italy",74,4,-1
"236",2020-02-24,"Japan",11,0,0
"237",2020-02-24,"Spain",0,0,0
"238",2020-02-24,"US",0,0,0
"239",2020-02-25,"Australia",0,0,0
"240",2020-02-25,"Belgium",0,0,0
"241",2020-02-25,"China",513,70,2661
"242",2020-02-25,"Italy",93,3,0
"243",2020-02-25,"Japan",13,1,0
"244",2020-02-25,"Spain",4,0,0
"245",2020-02-25,"US",0,0,1
"246",2020-02-26,"Australia",0,0,0
"247",2020-02-26,"Belgium",0,0,0
"248",2020-02-26,"China",412,52,2408
"249",2020-02-26,"Italy",131,2,2
"250",2020-02-26,"Japan",19,0,0
"251",2020-02-26,"Spain",7,0,0
"252",2020-02-26,"US",0,0,0
"253",2020-02-27,"Australia",0,0,0
"254",2020-02-27,"Belgium",0,0,0
"255",2020-02-27,"China",434,29,2846
"256",2020-02-27,"Italy",202,5,42
"257",2020-02-27,"Japan",26,1,0
"258",2020-02-27,"Spain",2,0,0
"259",2020-02-27,"US",1,0,0
"260",2020-02-28,"Australia",0,0,0
"261",2020-02-28,"Belgium",0,0,0
"262",2020-02-28,"China",328,44,3399
"263",2020-02-28,"Italy",233,4,1
"264",2020-02-28,"Japan",18,1,0
"265",2020-02-28,"Spain",17,0,0
"266",2020-02-28,"US",0,0,1
"267",2020-02-29,"Australia",10,0,0
"268",2020-02-29,"Belgium",0,0,0
"269",2020-02-29,"China",428,47,2991
"270",2020-02-29,"Italy",240,8,0
"271",2020-02-29,"Japan",9,1,10
"272",2020-02-29,"Spain",13,0,0
"273",2020-02-29,"US",8,1,0
"274",2020-03-01,"Australia",2,1,0
"275",2020-03-01,"Belgium",1,0,0
"276",2020-03-01,"China",576,35,2842
"277",2020-03-01,"Italy",566,5,37
"278",2020-03-01,"Japan",14,0,0
"279",2020-03-01,"Spain",39,0,0
"280",2020-03-01,"US",6,0,0
"281",2020-03-02,"Australia",3,0,0
"282",2020-03-02,"Belgium",6,0,0
"283",2020-03-02,"China",204,42,2692
"284",2020-03-02,"Italy",342,18,66
"285",2020-03-02,"Japan",19,0,0
"286",2020-03-02,"Spain",36,0,0
"287",2020-03-02,"US",23,5,0
"288",2020-03-03,"Australia",9,0,0
"289",2020-03-03,"Belgium",5,0,0
"290",2020-03-03,"China",125,33,2596
"291",2020-03-03,"Italy",466,27,11
"292",2020-03-03,"Japan",20,0,11
"293",2020-03-03,"Spain",45,1,0
"294",2020-03-03,"US",20,1,0
"295",2020-03-04,"Australia",13,1,0
"296",2020-03-04,"Belgium",10,0,0
"297",2020-03-04,"China",125,36,2551
"298",2020-03-04,"Italy",587,28,116
"299",2020-03-04,"Japan",35,1,0
"300",2020-03-04,"Spain",57,1,0
"301",2020-03-04,"US",31,4,0
"302",2020-03-05,"Australia",3,0,10
"303",2020-03-05,"Belgium",27,0,0
"304",2020-03-05,"China",151,32,2291
"305",2020-03-05,"Italy",769,41,138
"306",2020-03-05,"Japan",32,0,0
"307",2020-03-05,"Spain",37,1,0
"308",2020-03-05,"US",70,1,0
"309",2020-03-06,"Australia",5,0,0
"310",2020-03-06,"Belgium",59,0,0
"311",2020-03-06,"China",153,29,1652
"312",2020-03-06,"Italy",778,49,109
"313",2020-03-06,"Japan",55,0,3
"314",2020-03-06,"Spain",141,2,0
"315",2020-03-06,"US",48,2,0
"316",2020-03-07,"Australia",3,0,0
"317",2020-03-07,"Belgium",60,0,0
"318",2020-03-07,"China",80,28,1595
"319",2020-03-07,"Italy",1247,36,66
"320",2020-03-07,"Japan",46,0,30
"321",2020-03-07,"Spain",100,5,28
"322",2020-03-07,"US",115,3,0
"323",2020-03-08,"Australia",13,1,0
"324",2020-03-08,"Belgium",31,0,0
"325",2020-03-08,"China",53,28,1849
"326",2020-03-08,"Italy",1492,133,33
"327",2020-03-08,"Japan",33,1,0
"328",2020-03-08,"Spain",173,7,0
"329",2020-03-08,"US",114,4,0
"330",2020-03-09,"Australia",15,0,0
"331",2020-03-09,"Belgium",39,0,0
"332",2020-03-09,"China",37,23,1416
"333",2020-03-09,"Italy",1797,97,102
"334",2020-03-09,"Japan",28,2,0
"335",2020-03-09,"Spain",400,11,2
"336",2020-03-09,"US",68,1,0
"337",2020-03-10,"Australia",16,0,0
"338",2020-03-10,"Belgium",28,0,0
"339",2020-03-10,"China",27,16,1377
"340",2020-03-10,"Italy",977,168,0
"341",2020-03-10,"Japan",58,3,25
"342",2020-03-10,"Spain",622,7,0
"343",2020-03-10,"US",192,6,1
"344",2020-03-11,"Australia",21,0,0
"345",2020-03-11,"Belgium",47,3,0
"346",2020-03-11,"China",34,22,1463
"347",2020-03-11,"Italy",2313,196,321
"348",2020-03-11,"Japan",55,2,17
"349",2020-03-11,"Spain",582,19,151
"350",2020-03-11,"US",398,5,0
"351",2020-03-12,"Australia",0,0,0
"352",2020-03-12,"Belgium",0,0,0
"353",2020-03-12,"China",11,11,1257
"354",2020-03-12,"Italy",2651,189,0
"355",2020-03-12,"Japan",56,4,0
"356",2020-03-12,"Spain",0,1,0
"357",2020-03-12,"US",452,10,4
"358",2020-03-13,"Australia",72,0,2
"359",2020-03-13,"Belgium",245,0,0
"360",2020-03-13,"China",13,8,1295
"361",2020-03-13,"Italy",2547,250,394
"362",2020-03-13,"Japan",37,2,0
"363",2020-03-13,"Spain",2955,78,10
"364",2020-03-13,"US",596,9,0
"365",2020-03-14,"Australia",50,0,0
"366",2020-03-14,"Belgium",130,1,0
"367",2020-03-14,"China",32,13,1464
"368",2020-03-14,"Italy",3497,175,527
"369",2020-03-14,"Japan",62,1,0
"370",2020-03-14,"Spain",1159,62,324
"371",2020-03-14,"US",713,6,0
"372",2020-03-15,"Australia",47,0,0
"373",2020-03-15,"Belgium",197,0,0
"374",2020-03-15,"China",26,10,1357
"375",2020-03-15,"Italy",3590,368,369
"376",2020-03-15,"Japan",31,2,0
"377",2020-03-15,"Spain",1407,94,0
"378",2020-03-15,"US",98,12,0
"379",2020-03-16,"Australia",80,0,0
"380",2020-03-16,"Belgium",172,1,0
"381",2020-03-16,"China",30,14,893
"382",2020-03-16,"Italy",3233,349,414
"383",2020-03-16,"Japan",17,6,26
"384",2020-03-16,"Spain",2144,53,13
"385",2020-03-16,"US",1392,27,5
"386",2020-03-17,"Australia",75,2,0
"387",2020-03-17,"Belgium",185,5,0
"388",2020-03-17,"China",25,13,888
"389",2020-03-17,"Italy",3526,345,192
"390",2020-03-17,"Japan",50,0,0
"391",2020-03-17,"Spain",1806,191,498
"392",2020-03-17,"US",1781,34,0
"393",2020-03-18,"Australia",116,1,0
"394",2020-03-18,"Belgium",243,4,30
"395",2020-03-18,"China",44,11,957
"396",2020-03-18,"Italy",4207,475,1084
"397",2020-03-18,"Japan",35,2,0
"398",2020-03-18,"Spain",2162,90,53
"399",2020-03-18,"US",2776,57,88
"400",2020-03-19,"Australia",113,0,3
"401",2020-03-19,"Belgium",309,7,0
"402",2020-03-19,"China",54,8,780
"403",2020-03-19,"Italy",5322,427,415
"404",2020-03-19,"Japan",40,1,6
"405",2020-03-19,"Spain",4053,207,26
"406",2020-03-19,"US",5240,77,16
"407",2020-03-20,"Australia",110,1,0
"408",2020-03-20,"Belgium",462,16,-30
"409",2020-03-20,"China",94,4,731
"410",2020-03-20,"Italy",5986,627,0
"411",2020-03-20,"Japan",54,1,41
"412",2020-03-20,"Spain",2447,213,481
"413",2020-03-20,"US",5322,97,26
"414",2020-03-21,"Australia",280,0,0
"415",2020-03-21,"Belgium",558,30,262
"416",2020-03-21,"China",55,6,591
"417",2020-03-21,"Italy",6557,793,1632
"418",2020-03-21,"Japan",37,2,41
"419",2020-03-21,"Spain",4964,332,537
"420",2020-03-21,"US",6346,94,29
"421",2020-03-22,"Australia",478,0,62
"422",2020-03-22,"Belgium",586,8,0
"423",2020-03-22,"China",130,15,505
"424",2020-03-22,"Italy",5560,651,952
"425",2020-03-22,"Japan",45,4,3
"426",2020-03-22,"Spain",3394,397,450
"427",2020-03-22,"US",7936,145,2
"428",2020-03-23,"Australia",133,0,0
"429",2020-03-23,"Belgium",342,13,0
"430",2020-03-23,"China",63,0,452
"431",2020-03-23,"Italy",4789,601,0
"432",2020-03-23,"Japan",40,1,0
"433",2020-03-23,"Spain",6368,539,0
"434",2020-03-23,"US",10089,183,0
"435",2020-03-24,"Australia",362,1,27
"436",2020-03-24,"Belgium",526,34,198
"437",2020-03-24,"China",93,7,466
"438",2020-03-24,"Italy",5249,743,1302
"439",2020-03-24,"Japan",73,1,50
"440",2020-03-24,"Spain",4749,497,1219
"441",2020-03-24,"US",10262,237,170
"442",2020-03-25,"Australia",320,0,4
"443",2020-03-25,"Belgium",668,56,86
"444",2020-03-25,"China",70,4,493
"445",2020-03-25,"Italy",5210,683,1036
"446",2020-03-25,"Japan",97,3,25
"447",2020-03-25,"Spain",9630,839,1573
"448",2020-03-25,"US",11943,312,13
"449",2020-03-26,"Australia",446,5,53
"450",2020-03-26,"Belgium",1298,42,128
"451",2020-03-26,"China",121,6,408
"452",2020-03-26,"Italy",6203,712,999
"453",2020-03-26,"Japan",102,2,49
"454",2020-03-26,"Spain",8271,718,1648
"455",2020-03-26,"US",18036,413,320
"456",2020-03-27,"Australia",333,0,22
"457",2020-03-27,"Belgium",1049,69,183
"458",2020-03-27,"China",115,5,539
"459",2020-03-27,"Italy",5909,919,589
"460",2020-03-27,"Japan",114,6,13
"461",2020-03-27,"Spain",7933,773,2342
"462",2020-03-27,"US",18185,554,188
"463",2020-03-28,"Australia",497,1,50
"464",2020-03-28,"Belgium",1850,64,205
"465",2020-03-28,"China",102,3,380
"466",2020-03-28,"Italy",5974,889,1434
"467",2020-03-28,"Japan",198,3,32
"468",2020-03-28,"Spain",7516,844,2928
"469",2020-03-28,"US",19793,634,203
"470",2020-03-29,"Australia",344,2,0
"471",2020-03-29,"Belgium",1702,78,296
"472",2020-03-29,"China",123,5,482
"473",2020-03-29,"Italy",5217,756,646
"474",2020-03-29,"Japan",179,7,20
